city,lat,lon
Хилок,51.3634856,110.4590898
Чита,52.0340142,113.4994
Шилка,51.8497035,116.0334461
Вичуга,57.2044698,41.9132201
Гаврилов Посад,56.5586946,40.1228906
Заволжск,57.4918141,42.1375625
Иваново,56.9993792,40.9728272
Кинешма,57.4425463,42.168914
Комсомольск,57.0273052,40.3776851
Кохма,56.9324606,41.0931657
Наволоки,57.4679066,41.9608002
Плес,57.4606031,41.5122672
Приволжск,57.3805743,41.2808565
Пучеж,56.9820688,43.1683321
Родники,57.1025975,41.7298834
Тейково,56.8542719,40.5353874
Фурманов,57.2539276,41.1054432
Шуя,56.8560234,41.3800939
Южа,56.5926877,42.0458099
Юрьевец,57.3177781,43.1110401
Алзамай,55.5551233,98.6643699
Ангарск,52.544879,103.888543
Байкальск,51.5230393,104.1487532
Бирюсинск,55.9609167,97.8205348
Бодайбо,57.8468636,114.1866287
Братск,56.1513108,101.6340035
Вихоревка,56.1208145,101.1702926
Железногорск-Илимский,56.5847888,104.114275
Зима,53.920693,102.0491772
Иркутск,52.2864036,104.2807466
Киренск,57.7756595,108.1109412
Нижнеудинск,54.8968931,99.0314056
Саянск,54.1107238,102.18015
Свирск,53.0842668,103.3364093
Слюдянка,51.6563983,103.7187545
Тайшет,55.9405334,98.0030145
Тулун,54.557162,100.5780603
Усолье-Сибирское,52.7565808,103.6388109
Усть-Илимск,57.9430504,102.7415734
Усть-Кут,56.7928178,105.7757343
Черемхово,53.1369095,103.0901268
Шелехов,52.2102538,104.0973294
Баксан,43.6819137,43.5345036
Майский,43.6281516,44.0517314
Нальчик,43.4845464,43.60713
Нарткала,43.5578075,43.8575925
Прохладный,43.7589602,44.0102409
Терек,43.4839358,44.1402161
Тырныауз,43.3981585,42.9213582
Чегем,43.5671525,43.5865792
Багратионовск,54.3866518,20.6418091
Балтийск,54.6513372,19.9140572
Гвардейск,54.6588378,21.0501388
Гурьевск,54.770638,20.6039767
Гусев,54.5915455,22.1942445
Зеленоградск,54.9600185,20.4753652
Калининград,54.7074702,20.5073241
Краснознаменск,54.9453423,22.4928745
Ладушкин,54.5692156,20.1690153
Мамоново,54.4646036,19.9453482
Неман,55.0316524,22.0324064
Нестеров,54.6313814,22.5713736
Озерск,54.4084705,22.0134438
Пионерский,54.9516574,20.2277424
Полесск,54.8625126,21.0998067
Правдинск,54.4430986,21.0085269
Приморск,54.7311437,19.9981926
Светлогорск,54.9439286,20.1514295
Светлый,54.6772897,20.1357595
Славск,55.0449714,21.6742367
Советск,55.0809336,21.8886106
Черняховск,54.6244751,21.7969062
Балабаново,55.1773714,36.6566951
Белоусово,55.0956803,36.677629
Боровск,55.2130096,36.4926251
Ермолино,55.1971758,36.5952722
Жиздра,53.7521926,34.7386592
Жуков,55.0301833,36.7394903
Калуга,54.5059848,36.2516245
Киров,54.0790111,34.3076201
Козельск,54.0347201,35.780768
Кондрово,54.7959473,35.9274842
Кременки,54.8862447,37.1168701
Людиново,53.8700828,34.4385915
Малоярославец,55.0177123,36.4633603
Медынь,54.9689785,35.8872168
Мещовск,54.3191471,35.2816918
Мосальск,54.4824939,34.9872239
Обнинск,55.0943144,36.6121639
Сосенский,54.0566016,35.9621646
Спас-Деменск,54.409922,34.0189631
Сухиничи,54.097296,35.3443568
Таруса,54.7236477,37.1671
Юхнов,54.7446445,35.2424346
Вилючинск,52.9302415,158.4057632
Елизово,53.1830375,158.3883548
Петропавловск-Камчатский,53.036908,158.6559254
Карачаевск,43.7732525,41.9143472
Теберда,43.4437731,41.7415142
Усть-Джегута,44.0838442,41.9711046
Черкесск,44.2269425,42.0466704
Анжеро-Судженск,56.0786281,86.0201278
Белово,54.4220968,86.3037373
Березовский,55.6693513,86.2744459
Гурьевск,54.2859263,85.9475985
Калтан,53.5210919,87.2771636
Кемерово,55.3910651,86.0467781
Киселевск,54.0059999,86.6366116
Ленинск-Кузнецкий,54.6674492,86.1797324
Мариинск,56.2127383,87.7454924
Междуреченск,53.6865289,88.0702754
Мыски,53.7125695,87.8055646
Новокузнецк,53.794315,87.2142745
Осинники,53.5988055,87.3371272
Полысаево,54.6055,86.2809208
Прокопьевск,53.8604265,86.7183577
Салаир,54.2351735,85.8030733
Тайга,56.0622131,85.6207182
Таштагол,52.759313,87.8476546
Топки,55.2764707,85.6152619
Юрга,55.7202694,84.8886399
Белая Холуница,58.8415239,50.8460699
Вятские Поляны,56.2284817,51.0614855
Зуевка,58.4032152,51.1331606
Киров,58.6035264,49.6679304
Кирово-Чепецк,58.5559424,50.0316848
Кирс,59.340056,52.2414437
Котельнич,58.3034832,48.3475597
Луза,60.6290609,47.2612445
Малмыж,56.5243844,50.6782739
Мураши,59.3955383,48.9638417
Нолинск,57.5597284,49.93575
Омутнинск,58.6698913,52.1894564
Орлов,58.5389776,48.8927723
Слободской,58.7311574,50.1669249
Советск,57.584196,48.9590272
Сосновка,56.2532741,51.2833642
Уржум,57.1097477,50.0058097
Яранск,57.3040326,47.8478737
Буй,58.4733277,41.5306822
Волгореченск,57.4424559,41.1594201
Галич,58.3828191,42.3654013
Кологрив,58.8269323,44.3184927
Кострома,57.768,40.927
Макарьев,57.8807152,43.8014197
Мантурово,58.3265441,44.757494
Нерехта,57.4543369,40.5723598
Нея,58.2943349,43.8780948
Солигалич,59.0784867,42.2878423
Чухлома,58.753421,42.6884958
Шарья,58.3760542,45.4062414
Абинск,44.8679655,38.1618157
Анапа,44.8950433,37.3163282
Апшеронск,44.4584006,39.7299824
Армавир,45.0012149,41.1324168
Белореченск,44.7651876,39.8781494
Геленджик,44.5630007,38.0790852
Горячий Ключ,44.6344864,39.1354738
Гулькевичи,45.3605121,40.6918389
Ейск,46.71157,38.2763895
Кореновск,45.4641703,39.458949
Краснодар,45.0401604,38.9759647
Кропоткин,45.4333007,40.5727951
Крымск,44.9344404,37.9855795
Курганинск,44.8877025,40.5913245
Лабинск,44.6354363,40.7245341
Новокубанск,45.1038699,41.0475175
Новороссийск,44.7235026,37.7686135
Приморско-Ахтарск,46.0515432,38.1704875
Славянск-на-Кубани,45.2603626,38.1259774
Сочи,43.5854551,39.7231548
Темрюк,45.2610949,37.4454412
Тимашевск,45.615923,38.9351837
Тихорецк,45.8546345,40.1260267
Туапсе,44.1105335,39.0824904
Усть-Лабинск,45.2227359,39.6929577
Хадыженск,44.4122963,39.5320258
Артемовск,54.3473075,93.4358377
Ачинск,56.253907,90.4794397
Боготол,56.2098468,89.5299336
Бородино,55.9054121,94.9020967
Дивногорск,55.9576784,92.3800687
Дудинка,69.4031364,86.1907218
Енисейск,58.4485261,92.1651083
Железногорск,56.2529035,93.532273
Заозерный,55.9617752,94.7091491
Зеленогорск,56.1131564,94.5888103
Игарка,67.4666901,86.5812794
Иланский,56.2374037,96.067267
Канск,56.2051282,95.7051096
Кодинск,58.6032644,99.1797962
Красноярск,56.0093879,92.8524806
Лесосибирск,58.221681,92.5037872
Минусинск,53.7104586,91.6872907
Назарово,56.0113799,90.4168775
Норильск,69.3489978,88.2009846
Сосновоборск,56.1202647,93.3354121
Ужур,55.3141969,89.8333918
Уяр,55.8131263,94.3282601
Шарыпово,55.5389739,89.1801044
Далматово,56.262114,62.9387011
Катайск,56.290809,62.5800359
Курган,55.4443883,65.3161963
Куртамыш,54.9368539,64.4203722
Макушино,55.2153947,67.2451705
Петухово,55.0650077,67.8873408
Шадринск,56.0870344,63.6297182
Шумиха,55.2280246,63.2901272
Щучье,55.2087637,62.7478548
Дмитриев-Льговский,52.1268464,35.0739038
Железногорск,52.3380202,35.3516867
Курск,51.7303637,36.1925603
Курчатов,51.6604083,35.6572224
Льгов,51.6597148,35.2612491
Обоянь,51.2119324,36.2755133
Рыльск,51.5681314,34.6802597
Суджа,51.1918927,35.2720915
Фатеж,52.0917728,35.8538706
Щигры,51.8786014,36.8910945
Бокситогорск,59.4734797,33.845688
Волосово,59.4445408,29.4923355
Волхов,59.9005958,32.3520756
Всеволожск,60.0191278,30.6456718
Выборг,60.7130801,28.7328336
Высоцк,60.6296236,28.5709314
Гатчина,59.565237,30.1282473
Ивангород,59.3766119,28.2231659
Каменногорск,60.950855,29.1308372
Кингисепп,59.3740435,28.6112444
Кириши,59.4742862,32.0624947
Кировск,59.8754216,30.981364
Коммунар,59.6215133,30.3934125
Кудрово,59.9075226,30.5121008
Лодейное Поле,60.7320936,33.5521022
Луга,58.7374031,29.8465776
Любань,59.3493847,31.2484801
Мурино,60.044862,30.4571456
Никольское,59.7043309,30.7874571
Новая Ладога,60.1100135,32.3141203
Отрадное,59.7726848,30.7988557
Пикалево,59.5132022,34.1772776
Подпорожье,60.9127549,34.1567664
Приморск,60.3660209,28.6135772
Приозерск,61.0330896,30.1587851
Светогорск,61.1111282,28.8725865
Сертолово,60.1446932,30.2095918
Сланцы,59.1178185,28.0881475
Сосновый Бор,59.8772884,29.1291619
Сясьстрой,60.1401739,32.5601559
Тихвин,59.6272904,33.5072731
Тосно,59.5407098,30.877812
Шлиссельбург,59.9443714,31.0333365
Грязи,52.4874097,39.9331142
Данков,53.2577411,39.1456184
Елец,52.6152411,38.5289342
Задонск,52.4004179,38.9205032
Лебедянь,53.0156117,39.143536
Липецк,52.610249,39.5947883
Усмань,52.0442648,39.726401
Чаплыгин,53.24048,39.9670973
Магадан,59.5681332,150.8084956
Сусуман,62.7805882,148.1540281
Москва,55.7540471,37.620405
Апрелевка,55.5276918,37.065143
Балашиха,55.796389,37.938283
Белоозерский,55.4595766,38.4389742
Бронницы,55.4255379,38.264145
Верея,55.343369,36.185694
Видное,55.551725,37.7061984
Волоколамск,56.0356499,35.9585112
Воскресенск,55.3071519,38.7027953
Высоковск,56.3359513,36.5251837
Голицыно,55.6190582,36.9856793
Дедовск,55.8703276,37.1245043
Дзержинский,55.6240869,37.8440276
Дмитров,56.3477457,37.526672
Долгопрудный,55.9385999,37.5101021
Домодедово,55.4363283,37.7664984
Дрезна,55.7443143,38.8498479
Дубна,56.741786,37.1757223
Егорьевск,55.3830113,39.0358317
Жуковский,55.599803,38.1224298
Зарайск,54.762456,38.8850978
Звенигород,55.7297089,36.8554029
Ивантеевка,55.9741665,37.9207539
Истра,55.9062267,36.8601454
Кашира,54.853337,38.1904392
Клин,56.3425605,36.7240032
Коломна,55.102814,38.7531002
Королев,55.9161773,37.8545415
Котельники,55.6597925,37.8631156
Красноармейск,56.105426,38.140838
Красногорск,55.8317203,37.3295266
Краснозаводск,56.4409979,38.2320307
Краснознаменск,55.5978959,37.0393709
Кубинка,55.5754955,36.6951995
Куровское,55.5792277,38.9207723
Ликино-Дулево,55.7078257,38.9578093
Лобня,56.0328881,37.4614035
Лосино-Петровский,55.8713214,38.200599
Луховицы,54.9652077,39.0260266
Лыткарино,55.5778163,37.9033507
Люберцы,55.7003989,37.9606238
Можайск,55.5069259,36.024043
Мытищи,55.9105782,37.7363579
Наро-Фоминск,55.386185,36.734484
Ногинск,55.8686133,38.4622104
Одинцово,55.6789455,37.263686
Озеры,54.8541006,38.5599196
Орехово-Зуево,55.8151421,38.9869822
Павловский Посад,55.7807244,38.6596983
Пересвет,56.4158326,38.1733534
Подольск,55.4389322,37.5703482
Протвино,54.8705984,37.2182749
Пушкино,56.0103638,37.8471403
Пущино,54.8324412,37.6210346
Раменское,55.5495132,38.2728914
Реутов,55.7582621,37.8618553
Рошаль,55.6632776,39.8656147
Руза,55.7014744,36.1959206
Сергиев Посад,56.3062548,38.1502661
Серпухов,54.9226466,37.4033859
Солнечногорск,56.185102,36.977631
Старая Купавна,55.810648,38.175624
Ступино,54.886274,38.078228
Талдом,56.7308564,37.5276003
Фрязино,55.9590588,38.0410235
Химки,55.888657,37.4303702
Хотьково,56.2516982,37.9396017
Черноголовка,56.0100707,38.3792047
Чехов,55.1508011,37.4533252
Шатура,55.5777427,39.5445712
Щелково,55.9233801,37.9783707
Электрогорск,55.8780241,38.7806752
Электросталь,55.7847291,38.4447045
Электроугли,55.7170877,38.2192563
Яхрома,56.2890516,37.4831799
Апатиты,67.5677761,33.4067929
Гаджиево,69.2491311,33.315341
Заозерск,69.4003584,32.4501496
Заполярный,69.4132852,30.7984312
Кандалакша,67.1567974,32.4143218
Кировск,67.6150424,33.663735
Ковдор,67.5661417,30.4741941
Кола,68.8786028,33.0262299
Мончегорск,67.9386153,32.9359719
Мурманск,69.007721,33.0685865
Оленегорск,68.1422058,33.2669407
Островной,68.0510344,39.5077846
Полярные Зори,67.373084,32.4975636
Полярный,69.1989583,33.4508591
Североморск,69.0766801,33.4177759
Снежногорск,69.1921409,33.2383502
Арзамас,55.3945814,43.8408141
Балахна,56.495036,43.5758423
Богородск,56.1020828,43.5135442
Бор,56.3565458,44.0646481
Ветлуга,57.8559204,45.7761957
Володарск,56.2169751,43.1596417
Ворсма,55.989943,43.2718859
Выкса,55.3207727,42.1678834
Горбатов,56.1307769,43.0626185
Городец,56.6449218,43.4723104
Дзержинск,56.2376047,43.4599416
Заволжье,56.6404286,43.3872492
Княгинино,55.8205915,45.032337
Кстово,56.1432084,44.1664198
Кулебаки,55.4296181,42.5125538
Лукоянов,55.0326225,44.4933807
Лысково,56.0262359,45.035771
Навашино,55.543811,42.1887089
Нижний Новгород,56.3240627,44.0053913
Павлово,55.9797564,43.0995042
Первомайск,54.8675792,43.8013992
Перевоз,55.5967718,44.5448369
Саров,54.9228268,43.3448089
Семенов,56.7889794,44.4902885
Сергач,55.5201515,45.4813231
Урень,57.4612572,45.7833293
Чкаловск,56.7651262,43.242077
Шахунья,57.6764293,46.6129009
Боровичи,58.3840197,33.9175929
Валдай,57.9823766,33.2369436
Великий Новгород,58.5213846,31.2755394
Малая Вишера,58.8458379,32.2247401
Окуловка,58.3910296,33.2901557
Пестово,58.5973723,35.8143898
Сольцы,58.1201281,30.309351
Старая Русса,57.990737,31.3554897
Холм,57.145108,31.1787499
Чудово,59.1248394,31.6866241
Барабинск,55.35146,78.3464506
Бердск,54.7582156,83.1070605
Болотное,55.6692421,84.3906889
Искитим,54.6267603,83.2951244
Карасук,53.7343189,78.0422967
Каргат,55.1945666,80.2829495
Куйбышев,55.4685094,78.3242048
Купино,54.366055,77.2973368
Новосибирск,55.028191,82.9211489
Обь,54.9945576,82.6937181
Татарск,55.2146167,75.9739914
Тогучин,55.2251631,84.4104118
Черепаново,54.2206476,83.3724521
Чулым,55.0906867,80.9592508
Исилькуль,54.9096002,71.2816284
Калачинск,55.0598155,74.5653644
Называевск,55.5689323,71.3503426
Омск,54.9848566,73.3674517
Тара,56.9160511,74.3649194
Тюкалинск,55.8703415,72.1954747
Абдулино,53.6778906,53.6472483
Бугуруслан,53.6523728,52.4326853
Бузулук,52.7881277,52.2624877
Гай,51.4649189,58.4436875
Кувандык,51.4783857,57.3612636
Медногорск,51.4037617,57.583163
Новотроицк,51.1964202,58.3018192
Оренбург,51.7875092,55.1018828
Орск,51.2294282,58.4752777
Соль-Илецк,51.1633736,54.9896726
Сорочинск,52.426685,53.1542745
Ясный,51.036838,59.874344
Болхов,53.4438496,36.0076833
Дмитровск,52.5054851,35.1415009
Ливны,52.4284558,37.6039506
Малоархангельск,52.4002192,36.5038579
Мценск,53.2788438,36.5749105
Новосиль,52.97454,37.0437146
Орел,52.9671298,36.0696427
Белинский,52.9640996,43.4183212
Городище,53.2726916,45.7026142
Заречный,53.1960836,45.1689907
Каменка,53.1855463,44.0469717
Кузнецк,53.1130888,46.605092
Нижний Ломов,53.5300905,43.6730217
Никольск,53.7137496,46.0799857
Пенза,53.1753314,45.0348625
Сердобск,52.4697595,44.2122414
Спасск,53.9271974,43.1859073
Сурск,53.0761357,45.6910796
Александровск,59.1613221,57.5763459
Березники,59.4079923,56.8039427
Верещагино,58.0797571,54.6581309
Горнозаводск,58.3742532,58.3231716
Гремячинск,58.5626082,57.8520572
Губаха,58.8371721,57.554533
Добрянка,58.469685,56.4130737
Кизел,59.0512783,57.6471028
Красновишерск,60.3901321,57.0535682
Краснокамск,58.0822065,55.7479936
Кудымкар,59.0167925,54.6572508
Кунгур,57.4283296,56.9438656
Лысьва,58.0995875,57.8086825
Нытва,57.9336725,55.3356084
Оса,57.2889515,55.4688668
Оханск,57.7180034,55.3872469
Очер,57.8852686,54.7161091
Пермь,58.0102583,56.2342034
Соликамск,59.6482998,56.771009
Усолье,59.4277573,56.6837872
Чайковский,56.7781501,54.1477965
Чердынь,60.4011933,56.4799933
Чермоз,58.7842834,56.1507138
Чернушка,56.5160768,56.0763049
Чусовой,58.2974596,57.8193615
Арсеньев,44.1622031,133.2696209
Артем,43.3501675,132.1596175
Большой Камень,43.1111742,132.3480082
Владивосток,43.1164904,131.8823937
Дальнегорск,44.5539457,135.5662716
Дальнереченск,45.9308483,133.7316907
Лесозаводск,45.4780092,133.4186199
Находка,42.8239372,132.8927361
Партизанск,43.1280578,133.1264567
Спасск-Дальний,44.5901175,132.8157288
Уссурийск,43.7971818,131.9518229
Фокино,42.9706317,132.4110196
Великие Луки,56.332208,30.5508641
Гдов,58.7432429,27.8264809
Дно,57.826974,29.9629389
Невель,56.0201973,29.9239983
Новоржев,57.029807,29.3433083
Новосокольники,56.3408431,30.1527573
Опочка,56.710725,28.6717519
Остров,57.3451528,28.3437593
Печоры,57.8145817,27.622259
Порхов,57.7765219,29.5436626
Псков,57.8194415,28.3317198
Пустошка,56.3374813,29.3668055
Пыталово,57.0637952,27.9236214
Себеж,56.2908554,28.4724326
Адыгейск,44.878414,39.190289
Майкоп,44.6098268,40.1006606
Горно-Алтайск,51.9581028,85.9603235
Агидель,55.8999056,53.9220144
Баймак,52.5912896,58.3110998
Белебей,54.1034582,54.1113129
Белорецк,53.9676488,58.4100419
Бирск,55.4155753,55.5582214
Благовещенск,55.0499867,55.9553186
Давлеканово,54.2226707,55.0312373
Дюртюли,55.4848318,54.8524765
Ишимбай,53.4545764,56.0438751
Кумертау,52.7564939,55.7970197
Межгорье,54.2397689,57.9614547
Мелеуз,52.9589532,55.9282838
Нефтекамск,56.088377,54.2483061
Октябрьский,54.4815311,53.4655972
Салават,53.3616974,55.9245224
Сибай,52.7204651,58.6663783
Стерлитамак,53.6300864,55.9317089
Туймазы,54.5999224,53.6950623
Уфа,54.734944,55.9578468
Учалы,54.3067375,59.4125461
Янаул,56.2650146,54.929907
Бабушкин,51.7112755,105.8673219
Гусиноозерск,51.2865048,106.5230319
Закаменск,50.372713,103.286699
Кяхта,50.346543,106.4533516
Северобайкальск,55.635614,109.3361505
Улан-Удэ,51.8335853,107.5842223
Буйнакск,42.8214424,47.1165263
Дагестанские Огни,42.1152296,48.1939354
Дербент,42.058966,48.2907452
Избербаш,42.5650962,47.8710051
Каспийск,42.8916007,47.6367066
Кизилюрт,43.203825,46.8729636
Кизляр,43.8484083,46.7233699
Махачкала,42.9849159,47.5047181
Хасавюрт,43.2504665,46.5851292
Южно-Сухокумск,44.6602467,45.6499523
Карабулак,43.3055248,44.9094582
Магас,43.1688611,44.8131207
Малгобек,43.5096646,44.5901963
Назрань,43.2257841,44.7645779
Сунжа,43.3204196,45.0476331
Городовиковск,46.0875083,41.935537
Лагань,45.3930912,47.3432602
Элиста,46.3083344,44.2702088
Беломорск,64.5378417,34.7799462
Кемь,64.9543539,34.5949263
Кондопога,62.2059817,34.2682122
Костомукша,64.5889398,30.6016832
Лахденпохья,61.518881,30.1996116
Медвежьегорск,62.9127626,34.4568489
Олонец,60.9794025,32.9725519
Петрозаводск,61.7891264,34.3596434
Питкяранта,61.5757191,31.4640557
Пудож,61.8058821,36.5329941
Сегежа,63.7437572,34.3126982
Сортавала,61.703367,30.6916998
Суоярви,62.0787293,32.3499386
Воркута,67.4974082,64.061034
Вуктыл,63.8615274,57.3165402
Емва,62.5965137,50.8732125
Инта,66.0367316,60.1152961
Микунь,62.3579068,50.0719503
Печора,65.148584,57.2239777
Сосногорск,63.5989841,53.876293
Сыктывкар,61.6686617,50.8358151
Усинск,65.994147,57.5569423
Ухта,63.5565514,53.7014239
Алупка,44.4164605,34.0444797
Алушта,44.6764304,34.4100624
Армянск,46.1059307,33.6910012
Бахчисарай,44.7514769,33.8752176
Белогорск,45.057202,34.5999029
Джанкой,45.7092306,34.3883372
Евпатория,45.190629,33.367634
Керчь,45.3562627,36.4674513
Красноперекопск,45.9537576,33.7921939
Саки,45.1341997,33.6033383
Симферополь,44.9482948,34.1001151
Старый Крым,45.029058,35.0901474
Судак,44.8504679,34.9762034
Феодосия,45.0318393,35.3824259
Щелкино,45.4288991,35.825165
Ялта,44.4953612,34.166308
Волжск,55.8623156,48.3715083
Звенигово,55.9738571,48.0170245
Йошкар-Ола,56.6343662,47.8999706
Козьмодемьянск,56.3334036,46.546675
Ардатов,54.8465544,46.2411232
Инсар,53.8770022,44.3696566
Ковылкино,54.0391072,43.9191539
Краснослободск,54.4248207,43.7845011
Рузаевка,54.0581967,44.9490466
Саранск,54.1809332,45.1862632
Темников,54.6310583,43.2161099
Алдан,58.6094283,125.3817188
Верхоянск,67.5502451,133.390735
Вилюйск,63.7517616,121.627284
Ленск,60.7276196,114.9548255
Мирный,62.536232,113.9667728
Нерюнгри,56.6599953,124.7202403
Нюрба,63.2828955,118.3242437
Олекминск,60.3758006,120.4060878
Покровск,61.4843503,129.1482392
Среднеколымск,67.4582218,153.7069425
Томмот,58.9586859,126.2875462
Удачный,66.4071765,112.3061555
Якутск,62.0281405,129.7325887
Алагир,43.0417684,44.2199715
Ардон,43.1755152,44.2955775
Беслан,43.1937529,44.5338707
Владикавказ,43.020588,44.6819182
Дигора,43.1567628,44.1549483
Моздок,43.7471342,44.6569607
Агрыз,56.5232864,52.9943775
Азнакаево,54.8598642,53.0745527
Альметьевск,54.9014619,52.2970467
Арск,56.0912567,49.877067
Бавлы,54.4062891,53.2458065
Болгар,54.974891,49.0303882
Бугульма,54.5363495,52.7895849
Буинск,54.9641538,48.2901209
Елабуга,55.7567107,52.0543794
Заинск,55.299053,52.0062972
Зеленодольск,55.8466651,48.5010954
Иннополис,55.7521699,48.7446846
Казань,55.7943584,49.1114975
Кукмор,56.1861392,50.8970238
Лаишево,55.4042867,49.5499838
Лениногорск,54.5967034,52.4431906
Мамадыш,55.7150413,51.4129016
Менделеевск,55.895169,52.3143347
Мензелинск,55.7270698,53.1003968
Набережные Челны,55.7434619,52.3959165
Нижнекамск,55.6313609,51.8144669
Нурлат,54.4281461,50.8049337
Тетюши,54.936516,48.8314533
Чистополь,55.3699139,50.6285784
Ак-Довурак,51.178452,90.5985129
Кызыл,51.7191047,94.4376882
